#;Título;Preço;Ano;Km;Cidade;Moeda;URL
1;Montes Claros;R$21.000;2019;70;Montes Claros;BRL;https://www.facebook.com/marketplace/item/1643080776657874/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A6a86a114-8963-4e02-82d1-772b4d2049ec&__tn__=!%3AD
2;PALIO/SPORTING;R$45.000;2020;70;Montes Claros;BRL;https://www.facebook.com/marketplace/item/1527142358547193/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A6a86a114-8963-4e02-82d1-772b4d2049ec&__tn__=!%3AD
3;Hyundai HB20 Sense 1.0 Flex 12V MEC 2020;R$54.950;2020;70;Montes Claros;BRL;https://www.facebook.com/marketplace/item/799702342671943/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A6a86a114-8963-4e02-82d1-772b4d2049ec&__tn__=!%3AD
4;2014 FIAT wekeend look 1.8 adiventure;R$40.000;2014;70;Montes Claros;BRL;https://www.facebook.com/marketplace/item/766245393085450/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A6a86a114-8963-4e02-82d1-772b4d2049ec&__tn__=!%3AD
5;2011 Mercedes-Benz;R$50.000;2011;70;Montes Claros;BRL;https://www.facebook.com/marketplace/item/1349491810125635/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A6a86a114-8963-4e02-82d1-772b4d2049ec&__tn__=!%3AD
6;2013 FIAT palio;R$32.000;2013;70;Montes Claros;BRL;https://www.facebook.com/marketplace/item/2083606199098397/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A6a86a114-8963-4e02-82d1-772b4d2049ec&__tn__=!%3AD
7;2015 Ford ka;R$38.000;2015;70;Montes Claros;BRL;https://www.facebook.com/marketplace/item/905341075776573/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A6a86a114-8963-4e02-82d1-772b4d2049ec&__tn__=!%3AD
8;2019 Ford ka;R$40.900;2019;70;Montes Claros;BRL;https://www.facebook.com/marketplace/item/881038878012663/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A6a86a114-8963-4e02-82d1-772b4d2049ec&__tn__=!%3AD
9;2014 Lifan x60;R$24.000;2014;70;Montes Claros;BRL;https://www.facebook.com/marketplace/item/1134868065298141/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A6a86a114-8963-4e02-82d1-772b4d2049ec&__tn__=!%3AD
10;2012 Chevrolet cruze;R$49.990;2012;70;Montes Claros;BRL;https://www.facebook.com/marketplace/item/1812282062803496/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A6a86a114-8963-4e02-82d1-772b4d2049ec&__tn__=!%3AD
11;2019 Nissan versa;R$50.000;2019;70;Montes Claros;BRL;https://www.facebook.com/marketplace/item/1799308734005737/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A6a86a114-8963-4e02-82d1-772b4d2049ec&__tn__=!%3AD
12;2014 FIAT strada;R$62.000;2014;70;Montes Claros;BRL;https://www.facebook.com/marketplace/item/1410723350796781/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A6a86a114-8963-4e02-82d1-772b4d2049ec&__tn__=!%3AD
13;2025 FIAT mobi like;R$61.900;2025;70;Montes Claros;BRL;https://www.facebook.com/marketplace/item/1368698394945022/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A6a86a114-8963-4e02-82d1-772b4d2049ec&__tn__=!%3AD
14;2012 Chevrolet classic;R$34.900;2012;70;Montes Claros;BRL;https://www.facebook.com/marketplace/item/1250513673780401/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A6a86a114-8963-4e02-82d1-772b4d2049ec&__tn__=!%3AD
15;2011 Volkswagen gol;R$24.500;2011;70;Montes Claros;BRL;https://www.facebook.com/marketplace/item/888701073809209/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A6a86a114-8963-4e02-82d1-772b4d2049ec&__tn__=!%3AD
16;2019 Honda cg160;R$22.500;2019;70;Montes Claros;BRL;https://www.facebook.com/marketplace/item/1214284647168008/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A6a86a114-8963-4e02-82d1-772b4d2049ec&__tn__=!%3AD
17;2014 Toyota corolla;R$89.000;2014;70;Montes Claros;BRL;https://www.facebook.com/marketplace/item/2011757839567547/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A6a86a114-8963-4e02-82d1-772b4d2049ec&__tn__=!%3AD
18;2024 Volkswagen outro;R$20.000;2024;70;Montes Claros;BRL;https://www.facebook.com/marketplace/item/1396766358764710/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A6a86a114-8963-4e02-82d1-772b4d2049ec&__tn__=!%3AD
19;2009 FIAT doblo;R$40.000;2009;70;Montes Claros;BRL;https://www.facebook.com/marketplace/item/2576986849319315/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A6a86a114-8963-4e02-82d1-772b4d2049ec&__tn__=!%3AD
20;2025 Royal interstellar 650cc;R$35.000;2025;70;Montes Claros;BRL;https://www.facebook.com/marketplace/item/1570569614265554/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A6a86a114-8963-4e02-82d1-772b4d2049ec&__tn__=!%3AD
21;2022 Honda xre;R$28.000;2022;70;Montes Claros;BRL;https://www.facebook.com/marketplace/item/1250828626890583/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A6a86a114-8963-4e02-82d1-772b4d2049ec&__tn__=!%3AD
22;Poliguidaste vw 11.130;R$95.000;2020;70;Montes Claros;BRL;https://www.facebook.com/marketplace/item/1387418926066728/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A6a86a114-8963-4e02-82d1-772b4d2049ec&__tn__=!%3AD
23;2014 Chevrolet spin;R$53.900;2014;70;Montes Claros;BRL;https://www.facebook.com/marketplace/item/788155960652675/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A6a86a114-8963-4e02-82d1-772b4d2049ec&__tn__=!%3AD
24;2017 Chevrolet tracker;R$83.000;2017;70;Montes Claros;BRL;https://www.facebook.com/marketplace/item/818161993993461/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A6a86a114-8963-4e02-82d1-772b4d2049ec&__tn__=!%3AD
25;2013 Mitsubishi lancer;R$52.000;2013;70;Montes Claros;BRL;https://www.facebook.com/marketplace/item/1549476989547218/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A6a86a114-8963-4e02-82d1-772b4d2049ec&__tn__=!%3AD
26;Montes Claros;R$23.500;2007;70;Montes Claros;BRL;https://www.facebook.com/marketplace/item/1583921772829920/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A6a86a114-8963-4e02-82d1-772b4d2049ec&__tn__=!%3AD
27;Cartas contempladas para automóveis;R$40.000;2013;70;Montes Claros;BRL;https://www.facebook.com/marketplace/item/4303154233335911/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A6a86a114-8963-4e02-82d1-772b4d2049ec&__tn__=!%3AD
28;2019 Chevrolet prisma ltz 1.4;R$68.900;2019;70;Montes Claros;BRL;https://www.facebook.com/marketplace/item/856599170728445/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A6a86a114-8963-4e02-82d1-772b4d2049ec&__tn__=!%3AD
29;2009 Volkswagen gol;R$21.900;2009;70;Montes Claros;BRL;https://www.facebook.com/marketplace/item/2150376772431443/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A6a86a114-8963-4e02-82d1-772b4d2049ec&__tn__=!%3AD
30;2016 Jeep renegade;R$79.900;2016;70;Montes Claros;BRL;https://www.facebook.com/marketplace/item/4297162440545079/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A6a86a114-8963-4e02-82d1-772b4d2049ec&__tn__=!%3AD
31;2012 Volkswagen voyage;R$32.000;2012;70;Montes Claros;BRL;https://www.facebook.com/marketplace/item/2281272772284273/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A6a86a114-8963-4e02-82d1-772b4d2049ec&__tn__=!%3AD
32;2015 Renault sandero;R$35.000;2015;70;Montes Claros;BRL;https://www.facebook.com/marketplace/item/1940119069928816/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A6a86a114-8963-4e02-82d1-772b4d2049ec&__tn__=!%3AD
33;2018 FIAT toro;R$79.000;2018;70;Montes Claros;BRL;https://www.facebook.com/marketplace/item/1194931816164820/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A6a86a114-8963-4e02-82d1-772b4d2049ec&__tn__=!%3AD
34;2023 FIAT strada;R$76.900;2023;70;Montes Claros;BRL;https://www.facebook.com/marketplace/item/2100504894099180/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A6a86a114-8963-4e02-82d1-772b4d2049ec&__tn__=!%3AD
35;Prisma 2015;R$42.000;2015;70;Montes Claros;BRL;https://www.facebook.com/marketplace/item/1987799918824173/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A6a86a114-8963-4e02-82d1-772b4d2049ec&__tn__=!%3AD
36;2023 Citroën c3;R$74.900;2023;70;Montes Claros;BRL;https://www.facebook.com/marketplace/item/1394215955735850/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A6a86a114-8963-4e02-82d1-772b4d2049ec&__tn__=!%3AD
37;2018 Jeep renegade;R$84.900;2018;70;Montes Claros;BRL;https://www.facebook.com/marketplace/item/1438905474618460/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A6a86a114-8963-4e02-82d1-772b4d2049ec&__tn__=!%3AD
